class_id,name,star,tree_id,branch_slot,variant,parent_class_id,parent_rule,attribute_tag,level_cap_gain,fate_cost,level_cost,criteria,grants,description,is_monster_class,side,source_row,criteria_source,data_issue
myrmidon_soldier,Myrmidon Soldier,2,warrior,E,2,soldier_infantry,SLOT_PAIR,,40,2,1,Hold 50 positions against a superior force until relieved or victorious,"""Group Combat"" Keystone",,,L,14,SUGGESTED,
squad_leader,Squad Leader,2,warrior,F,2,soldier_infantry,SLOT_PAIR,,40,2,1,"Fight 500 engagements in formation, where your line did not break",Additional Leadership Skills,,,L,14,SUGGESTED,
ripper,Ripper,2,warrior,G,2,*,ANY_LOWER_STAR_IN_TREE,,40,2,1,"Live 50 months answerable to no guild, banner or master, and survive it",,,,L,14,SUGGESTED,
enlighted_ranger,Enlighted Ranger,2,explorer,A,1,apprentice_ranger,SLOT_PAIR,,40,2,1,Traverse 500 leagues of unmapped country without resupply or guide,,,,R,11,SUGGESTED,
apprentice_scout,Apprentice Scout,2,explorer,B,1,apprentice_ranger,SLOT_PAIR,,40,2,1,Scout and return from 50 hostile locations without once being detected,,,,R,11,SUGGESTED,
enlighted_gunner,Enlighted Gunner,2,explorer,C,1,gunner,SLOT_PAIR,,40,2,1,"Build, load or repair 50 firearms with your own hands under field conditions",,,,R,11,SUGGESTED,
gunslinger,Gunslinger,2,explorer,D,1,gunner,SLOT_PAIR,,40,2,1,Land 500 decisive shots at ranges where a miss would have cost you the fight,,,,R,11,SUGGESTED,
enlighted_hunter,Enlighted Hunter,2,explorer,E,1,apprentice_hunter,SLOT_PAIR,,40,2,1,"Bind, tame or master 50 creatures that would otherwise have killed you",,,,R,11,SUGGESTED,
monster_hunter,Monster Hunter,2,explorer,F,1,apprentice_hunter,SLOT_PAIR,,40,2,1,Track and bring down 500 beasts across at least three distinct terrains,,,,R,11,SUGGESTED,
spirit_walker,Spirit Walker,2,explorer,G,1,*,ANY_LOWER_STAR_IN_TREE,,40,2,1,Traverse 500 leagues of unmapped country without resupply or guide,,,,R,11,SUGGESTED,
manhunter,Manhunter,2,explorer,A,2,apprentice_ranger,SLOT_PAIR,,40,2,1,Track and bring down 500 beasts across at least three distinct terrains,,,,R,14,SUGGESTED,
ghost_walker,Ghost Walker,2,explorer,B,2,apprentice_ranger,SLOT_PAIR,,40,2,1,Traverse 500 leagues of unmapped country without resupply or guide,,,,R,14,SUGGESTED,
cannoner,Cannoner,2,explorer,C,2,gunner,SLOT_PAIR,,40,2,1,Land 500 decisive shots at ranges where a miss would have cost you the fight,,,,R,14,SUGGESTED,
rifleman,Rifleman,2,explorer,D,2,gunner,SLOT_PAIR,,40,2,1,"Build, load or repair 50 firearms with your own hands under field conditions",,,,R,14,SUGGESTED,
expert_bowman,Expert Bowman,2,explorer,E,2,apprentice_hunter,SLOT_PAIR,,40,2,1,PENDING,,,,R,14,PENDING,
tamer,Tamer,2,explorer,F,2,apprentice_hunter,SLOT_PAIR,,40,2,1,"Bind, tame or master 50 creatures that would otherwise have killed you",,,,R,14,SUGGESTED,
falconeer,Falconeer,2,explorer,G,2,*,ANY_LOWER_STAR_IN_TREE,,40,2,1,Track and bring down 500 beasts across at least three distinct terrains,,,,R,14,SUGGESTED,
greatswdman,GreatSwdman,3,warrior,A,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Defeat 1000 opponents using only the blade, refusing every other advantage offered",,,,L,17,SUGGESTED,
gladiator,Gladiator,3,warrior,B,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Win 100 duels decided by a single exchange, against armed and willing opponents",,,,L,17,SUGGESTED,
hersir,Hersir,3,warrior,C,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Defeat 1000 opponents without armour, shield or prepared position",,,,L,17,SUGGESTED,
berserker,Berserker,3,warrior,D,1,*,ANY_2STAR_IN_TREE,,10,3,1,Win 100 fights after taking a wound that would have ended a lesser combatant,,,,L,17,SUGGESTED,
guardian,Guardian,3,warrior,E,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Fight 1000 engagements in formation, where your line did not break",,,,L,17,SUGGESTED,
commando,Commando,3,warrior,F,1,*,ANY_2STAR_IN_TREE,,10,3,1,Hold 100 positions against a superior force until relieved or victorious,,,,L,17,SUGGESTED,
grey_warden,Grey Warden,3,warrior,G,1,*,ANY_2STAR_IN_TREE,,10,3,1,Settle 100 matters by your own judgement that a lawful authority would have ruled otherwise,,,,L,17,SUGGESTED,
lighting_blade,Lighting Blade,3,warrior,A,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Win 100 duels decided by a single exchange, against armed and willing opponents",,,,L,19,SUGGESTED,
weapon_master,Weapon Master,3,warrior,B,2,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,L,19,PENDING,
marauder,Marauder,3,warrior,C,2,*,ANY_2STAR_IN_TREE,,10,3,1,Win 100 fights after taking a wound that would have ended a lesser combatant,,,,L,19,SUGGESTED,
beast_walker,Beast Walker,3,warrior,D,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Bind, tame or master 100 creatures that would otherwise have killed you",,,,L,19,SUGGESTED,
storm_trooper,Storm Trooper,3,warrior,E,2,*,ANY_2STAR_IN_TREE,,10,3,1,Hold 100 positions against a superior force until relieved or victorious,,,,L,19,SUGGESTED,
warrior_commander,Warrior Commander,3,warrior,F,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Fight 1000 engagements in formation, where your line did not break",,,,L,19,SUGGESTED,
manslayer,ManSlayer,3,warrior,G,2,*,ANY_2STAR_IN_TREE,,10,3,1,Track and bring down 1000 beasts across at least three distinct terrains,,,,L,19,SUGGESTED,
superior_ranger,Superior Ranger,3,explorer,A,1,*,ANY_2STAR_IN_TREE,,10,3,1,Traverse 1000 leagues of unmapped country without resupply or guide,,,,R,17,SUGGESTED,
recon_scout,Recon Scout,3,explorer,B,1,*,ANY_2STAR_IN_TREE,,10,3,1,Scout and return from 100 hostile locations without once being detected,,,,R,17,SUGGESTED,
superior_gunner,Superior Gunner,3,explorer,C,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Build, load or repair 100 firearms with your own hands under field conditions",,,,R,17,SUGGESTED,
peacemaker,Peacemaker,3,explorer,D,1,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,R,17,PENDING,
superior_hunter,Superior Hunter,3,explorer,E,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Bind, tame or master 100 creatures that would otherwise have killed you",,,,R,17,SUGGESTED,
slayer,Slayer,3,explorer,F,1,*,ANY_2STAR_IN_TREE,,10,3,1,Track and bring down 1000 beasts across at least three distinct terrains,,,,R,17,SUGGESTED,
soul_linker,Soul Linker,3,explorer,G,1,*,ANY_2STAR_IN_TREE,,10,3,1,Commune with 1000 spirits without once losing yourself to them,,,,R,17,SUGGESTED,
bounty_hunter,Bounty Hunter,3,explorer,A,2,*,ANY_2STAR_IN_TREE,,10,3,1,Track and bring down 1000 beasts across at least three distinct terrains,,,,R,19,SUGGESTED,
infiltrator,Infiltrator,3,explorer,B,2,*,ANY_2STAR_IN_TREE,,10,3,1,Traverse 1000 leagues of unmapped country without resupply or guide,,,,R,19,SUGGESTED,
dragoon,Dragoon,3,explorer,C,2,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,R,19,PENDING,
musketeer,Musketeer,3,explorer,D,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Build, load or repair 100 firearms with your own hands under field conditions",,,,R,19,SUGGESTED,
archer,Archer,3,explorer,E,2,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,R,19,PENDING,
beastmaster,BeastMaster,3,explorer,F,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Bind, tame or master 100 creatures that would otherwise have killed you",,,,R,19,SUGGESTED,
sky_rider,Sky Rider,3,explorer,G,2,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,R,19,PENDING,
magic_user_spr,Magic User (SPR),0,magic_user_spr,A,1,,,,,,,,,,,L,25,NOT_APPLICABLE,
magic_user_int,Magic User (INT),0,magic_user_int,A,1,,,,,,,,,,,R,25,NOT_APPLICABLE,
apprentice_sorcerer,Apprentice Sorcerer,1,magic_user_spr,A,1,magic_user_spr,ROOT,CHA,30,1,1,Awaken 10 abilities that no instructor taught you,"Gain Advanced Knowledge (Bloodline Magic, Mana Sensitivity, Focus)",Awaken the magic in your blood and call the Power,,L,29,SUGGESTED,
runemage,Runemage,1,magic_user_spr,C,1,magic_user_spr,ROOT,WIL,30,1,1,"Decipher, transcribe or correct 10 magical formulae, texts or inscriptions","Gain Advanced Knowledge (Any Magic, Mana Sensitivity, Magic Object)","Mana is the principle of the world, master it and Grow!",,L,29,SUGGESTED,
lesser_warlock,Lesser Warlock,1,magic_user_spr,E,1,magic_user_spr,ROOT,VAR,30,1,1,"Receive and survive 10 visions, omens or contacts you did not initiate","Gain Advanced Knowledge (Kaballah Magic, Magic Object, Focus)",Peek into the abyss and touch the world of the supernatural,,L,29,SUGGESTED,
apprentice_arcanist,Apprentice Arcanist,1,magic_user_int,A,1,magic_user_int,ROOT,INT,30,1,1,"Decipher, transcribe or correct 10 magical formulae, texts or inscriptions","Gain Advanced Knowledge (Magic Knowledge, Spellcraft, )","Knowledge is Power, Knowledge is Magic!",,R,29,SUGGESTED,
apprentice_mage,Apprentice Mage,1,magic_user_int,C,1,magic_user_int,ROOT,INT,30,1,1,"Decipher, transcribe or correct 10 magical formulae, texts or inscriptions","Gain Advanced Knowledge (Interference Magic, Elementalism, Reinforcement )",Seek for the mysteries of the world!,,R,29,SUGGESTED,
bestower,Bestower,1,magic_user_int,E,1,magic_user_int,ROOT,VAR,30,1,1,PENDING,,,,R,29,PENDING,
awakened_sorcerer,Awakened Sorcerer,2,magic_user_spr,A,1,apprentice_sorcerer,SLOT_PAIR,,40,2,1,Spend 3000 Mana (MP) by casting only magic spells (Elemental or Reinforcement),Bloodline Magic levels,,,L,37,AUTHORED,
elder_kin,Elder-Kin,2,magic_user_spr,B,1,apprentice_sorcerer,SLOT_PAIR,,40,2,1,Spend 1000 Mana (MP) by casting only Bloodline Abilities,Bloodline Awakening Keystone,,,L,37,AUTHORED,
enlighted_runemage,Enlighted Runemage,2,magic_user_spr,C,1,runemage,SLOT_PAIR,,40,2,1,The levels of Reinforce Magic + Mana Sensitivity skills when added together sum 35 or above,Gain Reinforce Magic Levels,,,L,37,SUGGESTED,
mana_adept,Mana-Adept,2,magic_user_spr,D,1,runemage,SLOT_PAIR,,40,2,1,The levels of Mana Senstivity + Mana Sensitivity skills when added together sum 35 or above,Mana Senstivity Levels,,,L,37,SUGGESTED,
warlock,Warlock,2,magic_user_spr,E,1,lesser_warlock,SLOT_PAIR,,40,2,1,"Receive and survive 50 visions, omens or contacts you did not initiate",Kabbalist Law Keystone,,,L,37,SUGGESTED,
dreamgazer,DreamGazer,2,magic_user_spr,F,1,lesser_warlock,SLOT_PAIR,,40,2,1,"Spend 3000 Mana (MP) on divination, dream or pact workings alone",DreamSense Keystone,,,L,37,SUGGESTED,
fortune_teller,Fortune Teller,2,magic_user_spr,G,1,*,ANY_LOWER_STAR_IN_TREE,,40,2,1,"Receive and survive 50 visions, omens or contacts you did not initiate","Additional ""Divination"" skills",,,L,37,SUGGESTED,
elementalist,Elementalist,2,magic_user_spr,A,2,apprentice_sorcerer,SLOT_PAIR,,40,2,1,The levels of Elemental Magic + Mana Sensitivity skills when added together sum 35 or above,Gain Elemental Magic Levels,,,L,44,SUGGESTED,
sword_sorcerer,Sword Sorcerer,2,magic_user_spr,B,2,apprentice_sorcerer,SLOT_PAIR,,40,2,1,"Defeat 500 opponents using only the blade, refusing every other advantage offered",Combat Magic Keystone,,,L,44,SUGGESTED,
golem_crafter,Golem Crafter,2,magic_user_spr,C,2,runemage,SLOT_PAIR,,40,2,1,"Build, modify or repair 500 devices under field conditions",Animate Keystone,,,L,44,SUGGESTED,
magic_operator,Magic Operator,2,magic_user_spr,D,2,runemage,SLOT_PAIR,,40,2,1,"Have at least 10 levels in Magic Object skills, Have complete proficiency on at least 10 different magic objects",Magic Object Skill Levels,,,L,44,AUTHORED,
ani_mage,Ani-Mage,2,magic_user_spr,E,2,lesser_warlock,SLOT_PAIR,,40,2,1,Have a single familiar with a total sum of levels equal or more than your own,Animal Shift Keystone,,,L,44,AUTHORED,
witch_doctor,Witch Doctor,2,magic_user_spr,F,2,lesser_warlock,SLOT_PAIR,,40,2,1,Spend 1000 Mana (MP) by casting only Kaballah Law based Abilities,Curse Skills Levels,,,L,44,AUTHORED,
spirit_magi,Spirit Magi,2,magic_user_spr,G,2,*,ANY_LOWER_STAR_IN_TREE,,40,2,1,Spend 3000 Mana (MP) casting only formally studied spells,"Additional ""Spiritism"" skills",,,L,44,SUGGESTED,
learned_arcanist,Learned Arcanist,2,magic_user_int,A,1,apprentice_arcanist,SLOT_PAIR,,40,2,1,"Decipher, transcribe or correct 50 magical formulae, texts or inscriptions",Knowledge is Power Keystone,,,R,37,SUGGESTED,
spell_weaver,Spell Weaver,2,magic_user_int,B,1,apprentice_arcanist,SLOT_PAIR,,40,2,1,The levels of Focus + Basic Mana Discipline skills when added together sum 35 or above,Focus skill levels,,,R,37,SUGGESTED,
enlighted_mage,Enlighted Mage,2,magic_user_int,C,1,apprentice_mage,SLOT_PAIR,,40,2,1,"Decipher, transcribe or correct 50 magical formulae, texts or inscriptions",,,,R,37,SUGGESTED,
wandslinger,Wandslinger,2,magic_user_int,D,1,apprentice_mage,SLOT_PAIR,,40,2,1,Land 500 decisive shots at ranges where a miss would have cost you the fight,,,,R,37,SUGGESTED,
lesser_enchanter,Lesser Enchanter,2,magic_user_int,E,1,bestower,SLOT_PAIR,,40,2,1,"Decipher, transcribe or correct 50 magical formulae, texts or inscriptions",,,,R,37,SUGGESTED,
mana_crafter,Mana Crafter,2,magic_user_int,F,1,bestower,SLOT_PAIR,,40,2,1,"Build, modify or repair 500 devices under field conditions",,,,R,37,SUGGESTED,
contract_mage,Contract Mage,2,magic_user_int,G,1,*,ANY_LOWER_STAR_IN_TREE,,40,2,1,"Decipher, transcribe or correct 50 magical formulae, texts or inscriptions",,,,R,37,SUGGESTED,
arcane_arrester,Arcane Arrester,2,magic_user_int,A,2,apprentice_arcanist,SLOT_PAIR,,40,2,1,The levels of Interference Magic + Basic Mana Discipline skills when added together sum 35 or above,Gain Interference Magic Levels,,,R,44,SUGGESTED,
lore_seeker,Lore Seeker,2,magic_user_int,B,2,apprentice_arcanist,SLOT_PAIR,,40,2,1,"Decipher, transcribe or correct 50 magical formulae, texts or inscriptions",,,,R,44,SUGGESTED,
mage_specialist,Mage Specialist,2,magic_user_int,C,2,apprentice_mage,SLOT_PAIR,,40,2,1,Spend 3000 Mana (MP) casting only formally studied spells,,,,R,44,SUGGESTED,
lesser_conjuror,Lesser Conjuror,2,magic_user_int,D,2,apprentice_mage,SLOT_PAIR,,40,2,1,PENDING,,,,R,44,PENDING,
lesser_illutionist,Lesser Illutionist,2,magic_user_int,E,2,bestower,SLOT_PAIR,,40,2,1,PENDING,,,,R,44,PENDING,
tattoed_mage,Tattoed Mage,2,magic_user_int,F,2,bestower,SLOT_PAIR,,40,2,1,"Decipher, transcribe or correct 50 magical formulae, texts or inscriptions",,,,R,44,SUGGESTED,
apprentice_alchemist,Apprentice Alchemist,2,magic_user_int,G,2,*,ANY_LOWER_STAR_IN_TREE,,40,2,1,PENDING,,,,R,44,PENDING,
true_sorcerer,True Sorcerer,3,magic_user_spr,A,1,*,ANY_2STAR_IN_TREE,,10,3,1,Awaken 100 abilities that no instructor taught you,,,,L,51,SUGGESTED,
blood_mage,Blood-Mage,3,magic_user_spr,B,1,*,ANY_2STAR_IN_TREE,,10,3,1,Spend 10000 Mana (MP) casting only powers drawn from your own blood or pact,,,,L,51,SUGGESTED,
greater_runemage,Greater Runemage,3,magic_user_spr,C,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Decipher, transcribe or correct 100 magical formulae, texts or inscriptions",,,,L,51,SUGGESTED,
primemage,Primemage,3,magic_user_spr,D,1,*,ANY_2STAR_IN_TREE,,10,3,1,Spend 10000 Mana (MP) casting only powers drawn from your own blood or pact,,,,L,51,SUGGESTED,
great_warlock,Great Warlock,3,magic_user_spr,E,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Receive and survive 100 visions, omens or contacts you did not initiate",,,,L,51,SUGGESTED,
dream_walker,Dream Walker,3,magic_user_spr,F,1,*,ANY_2STAR_IN_TREE,,10,3,1,Scout and return from 100 hostile locations without once being detected,,,,L,51,SUGGESTED,
oracle,Oracle,3,magic_user_spr,G,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Receive and survive 100 visions, omens or contacts you did not initiate",,,,L,51,SUGGESTED,
fire_lord,Fire Lord,3,magic_user_spr,A,2,*,ANY_2STAR_IN_TREE,,10,3,1,Spend 10000 Mana (MP) casting only powers drawn from your own blood or pact,,,,L,54,SUGGESTED,
battlemage,Battlemage,3,magic_user_spr,B,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Decipher, transcribe or correct 100 magical formulae, texts or inscriptions",,,,L,54,SUGGESTED,
magic_pupeteer,Magic Pupeteer,3,magic_user_spr,C,2,*,ANY_2STAR_IN_TREE,,10,3,1,Spend 10000 Mana (MP) casting only formally studied spells,,,,L,54,SUGGESTED,
hex_artificer,Hex Artificer,3,magic_user_spr,D,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Decipher, transcribe or correct 100 magical formulae, texts or inscriptions",,,,L,54,SUGGESTED,
shifter,Shifter,3,magic_user_spr,E,2,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,L,54,PENDING,
cursemancer,Cursemancer,3,magic_user_spr,F,2,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,L,54,PENDING,
caller,Caller,3,magic_user_spr,G,2,*,ANY_2STAR_IN_TREE,,10,3,1,Summon and control 100 spirits; any that turn on you count as void,,,,L,54,SUGGESTED,
wise_arcanist,Wise Arcanist,3,magic_user_int,A,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Decipher, transcribe or correct 100 magical formulae, texts or inscriptions",,,,R,51,SUGGESTED,
magic_researcher,Magic Researcher,3,magic_user_int,B,1,*,ANY_2STAR_IN_TREE,,10,3,1,Spend 10000 Mana (MP) casting only formally studied spells,,,,R,51,SUGGESTED,
superior_mage,Superior Mage,3,magic_user_int,C,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Decipher, transcribe or correct 100 magical formulae, texts or inscriptions",,,,R,51,SUGGESTED,
greater_enchanter,Greater Enchanter,3,magic_user_int,E,1,*,ANY_2STAR_IN_TREE,,10,3,1,"Decipher, transcribe or correct 100 magical formulae, texts or inscriptions",,,,R,51,SUGGESTED,
magic_engineer,Magic Engineer,3,magic_user_int,F,1,*,ANY_2STAR_IN_TREE,,10,3,1,Spend 10000 Mana (MP) casting only formally studied spells,,,,R,51,SUGGESTED,
arcane_hacker,Arcane Hacker,3,magic_user_int,A,2,*,ANY_2STAR_IN_TREE,,10,3,1,Spend 10000 Mana (MP) casting only formally studied spells,,,,R,54,SUGGESTED,
lore_keeper,Lore Keeper,3,magic_user_int,B,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Decipher, transcribe or correct 100 magical formulae, texts or inscriptions",,,,R,54,SUGGESTED,
magic_savant,Magic Savant,3,magic_user_int,C,2,*,ANY_2STAR_IN_TREE,,10,3,1,Spend 10000 Mana (MP) casting only formally studied spells,,,,R,54,SUGGESTED,
greater_conjuror,Greater Conjuror,3,magic_user_int,D,2,*,ANY_2STAR_IN_TREE,,10,3,1,"Sustain yourself 100 days consuming nothing prepared, cooked or given",,,,R,54,SUGGESTED,
greater_illutionist,Greater Illutionist,3,magic_user_int,E,2,*,ANY_2STAR_IN_TREE,,10,3,1,Devour 1000 complete bodies bearing no monster qualities,,,,R,54,SUGGESTED,
thaumaturgist,Thaumaturgist,3,magic_user_int,F,2,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,R,54,PENDING,
enlighted_alchemist,Enlighted Alchemist,3,magic_user_int,G,2,*,ANY_2STAR_IN_TREE,,10,3,1,PENDING,,,,R,54,PENDING,
merchant,Merchant,0,merchant,A,1,,,,,,,,,,,L,61,NOT_APPLICABLE,
engineer,Engineer,0,engineer,A,1,,,,,,,,,,,R,61,NOT_APPLICABLE,
appraiser,Appraiser,1,merchant,A,1,merchant,ROOT,PER,20,1,1,"Appraise 100 objects, persons or contracts correctly under pressure","Gain Advanced (Appraisal), Additional (Investigation) Skill",See into the true nature of things,,L,65,SUGGESTED,
apprentice_broker,Apprentice Broker,1,merchant,C,1,merchant,ROOT,CHA,20,1,1,"Appraise 100 objects, persons or contracts correctly under pressure","Gain Advanced (Haggle), Additional (Streetwise) Skill",Information is both a weapon and wealth,,L,65,SUGGESTED,
grease_monkey,Grease Monkey,1,engineer,A,1,engineer,ROOT,INT,20,1,1,"Convert, console or condemn 10 souls whose faith was not your own",,the most common user of mechanical appliances,,R,65,SUGGESTED,
apprentice_gunsmith,Apprentice Gunsmith,1,engineer,C,1,engineer,ROOT,INT,20,1,1,"Build, load or repair 10 firearms with your own hands under field conditions",,Uses guns and creates bullets,,R,65,SUGGESTED,
mana_mechanic,Mana Mechanic,2,engineer,A,1,grease_monkey,SLOT_PAIR,,10,2,1,Disassemble and fully understand 50 mechanisms you did not design,,,,R,71,SUGGESTED,
enlighted_mechanic,Enlighted Mechanic,2,engineer,B,1,grease_monkey,SLOT_PAIR,,10,2,1,"Build, modify or repair 500 devices under field conditions",,,,R,71,SUGGESTED,
enlighted_gunsmith,Enlighted Gunsmith,2,engineer,D,1,apprentice_gunsmith,SLOT_PAIR,,10,2,1,Land 500 decisive shots at ranges where a miss would have cost you the fight,,,,R,71,SUGGESTED,
tinkerer,Tinkerer,2,engineer,E,1,*,ANY_LOWER_STAR_IN_TREE,,10,2,1,Disassemble and fully understand 50 mechanisms you did not design,,,,R,71,SUGGESTED,"Open-access column: this tree is narrower by setting (smaller cities/factions), so the column is reachable from any 1-star class, like slot G."
identifier,Identifier,2,merchant,A,1,appraiser,SLOT_PAIR,,30,2,1,"Appraise 100 magical objects succesfully, appraise 100 human hidden qualities succesfully, appraise items for more than 100 gold in value.",Appraisal Skill Levels,,,L,73,AUTHORED,
inspector,Inspector,2,merchant,B,1,appraiser,SLOT_PAIR,,30,2,1,"Detect 100 types of falsehoods including fake items, fraudulent documents or simply highly elaborated lies (difficulty 40 or more)",Judgement Keystone,,,L,73,AUTHORED,
enlighted_broker,Enlighted Broker,2,merchant,C,1,apprentice_broker,SLOT_PAIR,,30,2,1,"Trade 40 Gold in value of profit by the means of trading, if objects is sold, its base value (cost) is substracted from the goal",Haggle Skill Levels,,,L,73,AUTHORED,
peddler,Peddler,2,merchant,D,1,apprentice_broker,SLOT_PAIR,,30,2,1,"Have at least 1000 object or more for sale with a minimum worth of 1 silver each, you need to sell these objects with a profit of 50% at least",Wandering Store Keystone,,,L,73,AUTHORED,
gambler,Gambler,2,merchant,E,1,*,ANY_LOWER_STAR_IN_TREE,,30,2,1,"Bet and win more than 40 gold coins in games where skill and luck (randomness) are present. It can be done in multiple bets or a single bet, but negative results are cumulative too","Additional ""Game"" Skill",,,L,73,AUTHORED,"Open-access column: this tree is narrower by setting (smaller cities/factions), so the column is reachable from any 1-star class, like slot G."
connoisseur,Connoisseur,2,merchant,A,2,appraiser,SLOT_PAIR,,30,2,1,"uncover the hidden story of at least 20 different magical objects of grade IRON and 5 artifacts of grade BRONZE, this story should need usually reference materials and some research with time ranging from 10 minutes to 10 days",Hidden Reading Keystone,,,L,80,AUTHORED,
